L_theoretical_85,L_observed,L_theoretical_low_85,L_theoretical_high_85,Verification
21.514,21.072,18.287,24.741,X
2.394,2.59,2.035,2.753,X
1.716,2.062,1.458,1.973,
1.34,1.802,1.139,1.541,
2.354,2.536,2.001,2.707,X
1.208,1.595,1.027,1.39,
0.968,1.434,0.822,1.113,
0.805,1.34,0.684,0.925,
1.618,1.935,1.376,1.861,
0.949,1.404,0.806,1.091,
0.777,1.273,0.66,0.893,
0.653,1.218,0.555,0.751,
1.24,1.67,1.054,1.426,
0.774,1.276,0.658,0.89,
0.644,1.194,0.547,0.74,
0.542,1.121,0.461,0.623,
1.493,1.816,1.269,1.717,
1.016,1.477,0.864,1.169,
0.873,1.4,0.742,1.004,
0.765,1.36,0.65,0.88,
0.984,1.429,0.837,1.132,
0.718,1.238,0.61,0.825,
0.626,1.189,0.532,0.72,
0.551,1.165,0.469,0.634,
0.837,1.322,0.712,0.963,
0.62,1.178,0.527,0.713,
0.541,1.114,0.46,0.622,
0.474,1.097,0.403,0.545,
0.728,1.263,0.619,0.838,
0.543,1.142,0.461,0.624,
0.472,1.076,0.401,0.543,
0.41,1.063,0.348,0.471,
